genome	order_color	color	Phylum	Class	Order	Family_old	Family	Genus	Family_AKA	other
ERX552283.12.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552283.12.dc
ERX552295.44.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552295.44.dc
ERX552309.9.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552309.9.dc
ERX552333.20.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552333.20.dc
ERX552336.20.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552336.20.dc
ERX552357.22.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX552357.22.dc
ERX555907.107.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX555907.107.dc
ERX555961.17.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX555961.17.dc
ERX555987.30.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX555987.30.dc
ERX556034.38.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556034.38.dc
ERX556034.40.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556034.40.dc
ERX556035.15.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556035.15.dc
ERX556037.11.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556037.11.dc
ERX556040.51.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556040.51.dc
ERX556059.7.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556059.7.dc
ERX556075.42.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556075.42.dc
ERX556101.60.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX556101.60.dc
ERX633348.16.dc	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	ERX633348.16.dc
GCA.000889515.1.ViralProj61009	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Bathycoccus sp. RCC1105 virus BpV1 
GCA.000890375.1.ViralProj61013	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Micromonas sp. RCC1109 virus MpV1 
GCA.000906035.1.ViralProj195482	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Micromonas pusilla virus 12T strain=12T
GCA.001399265.1.ViralProj298990	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Ostreococcus mediterraneus virus 1 OmV1
GCA.001399285.1.ViralProj298920	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Ostreococcus lucimarinus virus 2 Olv2
GCA.003051645.1.ASM305164v1	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Bathycoccus sp. RCC1105 virus BpV2 
GCA.003051685.1.ASM305168v1	#008000	08AF02	Nucleocytoviricota	Megaviricetes	Algavirales	LP_01	AG_01	g177	Prasinoviridae	Ostreococcus tauri virus RT-2011 OtV6
