ID	New_col	Original_col	Family	Size
MW980061	08EEF9	08EEF9	Casjensviridae	69699
OP009266	08EEF9	08EEF9	Casjensviridae	68972
OP009268	08EEF9	08EEF9	Casjensviridae	68804
MH015258	08EEF9	08EEF9	Casjensviridae	61382
KY249644	08EEF9	08EEF9	Casjensviridae	60362
HQ632859	08EEF9	08EEF9	Casjensviridae	56958
MF476925	08EEF9	08EEF9	Casjensviridae	58387
KY971609	08EEF9	08EEF9	Casjensviridae	58279
MH727593	08EEF9	FFFFFF	Casjensviridae	42499
MF959998	08EEF9	08EEF9	Casjensviridae	58226
MW269554	08EEF9	08EEF9	Casjensviridae	59489
MT161385	08EEF9	FFFFFF	Casjensviridae	60418
KF626665	08EEF9	08EEF9	Casjensviridae	56147
LR743524	08EEF9	08EEF9	Casjensviridae	56232
MN536026	08EEF9	08EEF9	Casjensviridae	57567
JN564907	08EEF9	08EEF9	Casjensviridae	58065
AY357582	08EEF9	08EEF9	Casjensviridae	57455
OK041469	08EEF9	08EEF9	Casjensviridae	61950
KT321316	08EEF9	08EEF9	Casjensviridae	62220
MN505213	08EEF9	08EEF9	Casjensviridae	63971
MN062188	08EEF9	08EEF9	Casjensviridae	60056
MW145139	08EEF9	08EEF9	Casjensviridae	59837
MG030346	08EEF9	08EEF9	Casjensviridae	59128
OL964754	08EEF9	08EEF9	Casjensviridae	61461
MW978786	08EEF9	08EEF9	Casjensviridae	59685
MN317029	08EEF9	08EEF9	Casjensviridae	60975
OL840901	08EEF9	08EEF9	Casjensviridae	61446
MT675125	08EEF9	08EEF9	Casjensviridae	60924
MT675126	08EEF9	08EEF9	Casjensviridae	60728
JQ340774	08EEF9	08EEF9	Casjensviridae	60496
KM366098	08EEF9	08EEF9	Casjensviridae	60606
LC553736	08EEF9	08EEF9	Casjensviridae	59618
MN184886	08EEF9	08EEF9	Casjensviridae	62716
MT330372	08EEF9	08EEF9	Casjensviridae	61736
MG835858	08EEF9	08EEF9	Casjensviridae	59214
MN692199	08EEF9	08EEF9	Casjensviridae	58573
AP009146	0b8c0b	FFFFFF	family_2	52162
OL539469	0b8c0b	FFFFFF	family_2	40152
MK770414	0b8c0b	FFFFFF	family_2	45914
MW258712	0b8c0b	FFFFFF	family_2	41192
MH363708	0b8c0b	FFFFFF	family_2	41775
MK105855	0b8c0b	FFFFFF	family_2	42042
MK651787	0b8c0b	FFFFFF	family_2	41912
MF614100	0b8c0b	FFFFFF	family_2	42518
MW258710	0b8c0b	FFFFFF	family_2	40897
MN850623	0b8c0b	FFFFFF	family_2	42116
ON014757	0b8c0b	FFFFFF	family_2	39509
OM654376	0b8c0b	FFFFFF	family_2	39110
MN988487	0b8c0b	FFFFFF	family_2	43230
MK813942	0b8c0b	FFFFFF	family_2	41963
