set	name	start	end	strand	col	lty	lwd	pch	cex	gene_type	fill
NC_028092.1	NC_028092.1_1	1	183	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_2	226	621	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_3	791	985	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_4	1343	1465	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_5	1487	2938	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_6	3017	3544	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_7	3707	4159	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_8	4180	4983	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_9	5013	6452	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_10	6492	6980	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_11	7001	7408	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_12	7395	9611	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_13	9631	10062	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_14	10121	10369	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_15	10257	10628	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_16	10669	11418	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_17	11451	12428	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_18	12395	13222	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_19	13246	14985	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_20	15032	15736	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_21	15697	16155	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_22	16145	16396	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_23	16471	17046	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_24	17043	17771	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_25	17737	18051	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_26	18026	19249	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_27	19276	19707	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_28	19730	20056	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_29	20095	20463	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_30	20426	20929	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_31	20965	21201	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_32	21241	21564	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_33	21493	21783	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_34	21791	23311	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_35	23330	23779	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_36	23821	24429	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_37	24441	25112	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_38	25039	25380	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_39	25407	26153	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_40	26170	26796	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_41	26830	28491	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_42	28488	29234	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_43	29289	30305	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_44	30302	30946	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_45	30937	31596	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_46	31629	32768	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_47	32781	33716	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_48	33742	34482	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_49	34456	35310	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_50	35348	35818	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_51	35835	36002	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_52	35941	36318	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_53	36315	36590	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_54	36617	36979	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_55	37005	37178	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_56	37205	37564	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_57	37529	38035	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_58	38092	38586	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_59	38583	39068	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_60	39086	40042	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_61	40052	40684	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_62	40693	40902	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_63	40923	42206	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_64	42219	43007	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_65	43036	43746	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_66	43759	44331	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_67	44321	45376	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_68	45439	46221	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_69	46229	46465	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_70	46443	47924	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_71	47972	48277	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_72	48297	48689	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_73	48697	49992	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_74	49989	50309	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_75	50327	51664	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_76	51681	52814	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_77	52822	56856	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_78	56896	57081	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_79	57093	58199	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_80	58271	58579	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_81	58591	59097	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_82	59123	60157	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_83	60176	65539	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_84	65550	66857	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_85	66876	67529	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_86	67707	69041	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_87	69222	70271	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_88	70285	70488	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_89	70523	70744	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_90	70778	71308	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_91	71310	71510	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_92	71526	72992	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_93	72997	73257	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_94	73258	73503	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_95	73528	73812	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_96	73756	74055	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_97	74083	74721	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_98	74770	75807	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_99	75812	76492	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_100	76489	76917	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_101	76936	77355	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_102	77337	77837	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_103	77892	78917	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_104	78901	79692	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_105	79746	80897	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_106	80913	82196	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_107	82200	82649	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_108	82612	82800	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_109	82834	83130	1	NA	1	1	1	1	arrows	darkorchid
